name,split,netTime,place,leaderDiff
Menno Koolhaas,SWIM,00:47:01.888,1,
Sam Laidlow,SWIM,00:47:05.603,2,+00:03.72
Antonio Benito López,SWIM,00:47:07.794,3,+00:05.91
Patrick Lange,SWIM,00:47:08.794,4,+00:06.91
Gregory Barnaby,SWIM,00:47:11.665,5,+00:09.78
Kieran Lindars,SWIM,00:47:11.747,6,+00:09.86
Ben Kanute,SWIM,00:47:14.248,7,+00:12.36
Finn Große-Freese,SWIM,00:47:15.314,8,+00:13.43
Sam Appleton,SWIM,00:47:15.946,9,+00:14.06
Paul Schuster,SWIM,00:47:16.806,10,+00:14.92
Matthew Marquardt,SWIM,00:47:17.568,11,+00:15.68
Rudy Von Berg,SWIM,00:47:17.641,12,+00:15.75
Kacper Stepniak,SWIM,00:47:19.065,13,+00:17.18
Kristian Blummenfelt,SWIM,00:47:20.128,14,+00:18.24
Braden Currie,SWIM,00:47:21.192,15,+00:19.30
Daniel Bækkegård,SWIM,00:47:22.591,16,+00:20.70
Robert Wilkowiecki,SWIM,00:47:22.908,,
Nick Thompson,SWIM,00:47:25.544,17,+00:23.66
Clément Mignon,SWIM,00:47:27.10,,
David McNamee,SWIM,00:47:27.502,18,+00:25.61
Denis Chevrot,SWIM,00:47:28.28,,
Steven McKenna,SWIM,00:47:28.738,19,+00:26.85
Igor Amorelli,SWIM,00:48:14.969,20,+01:13.08
Magnus Ditlev,SWIM,00:48:17.497,21,+01:15.61
Robert Kallin,SWIM,00:48:21.581,22,+01:19.69
Dylan Magnien,SWIM,00:48:23.536,23,+01:21.65
Kristian Høgenhaug,SWIM,00:48:23.665,24,+01:21.78
Bradley Weiss,SWIM,00:48:27.123,25,+01:25.24
Mathias Petersen,SWIM,00:48:53.383,26,+01:51.50
Arnaud Guilloux,SWIM,00:50:32.48,,
Gustav Iden,SWIM,00:50:33.564,,
Andre Lopes,SWIM,00:50:34.243,27,+03:32.36
Stenn Goetstouwers,SWIM,00:50:35.712,28,+03:33.82
Matt Hanson,SWIM,00:50:36.428,29,+03:34.54
Mike Phillips,SWIM,00:50:37.288,30,+03:35.40
Jonas Hoffmann,SWIM,00:50:38.766,31,+03:36.88
Thor Bendix Madsen,SWIM,00:50:40.338,32,+03:38.45
Reinaldo Colucci,SWIM,00:50:41.143,,
Tomasz Szala,SWIM,00:50:41.607,33,+03:39.72
Leon Chevalier,SWIM,00:50:42.403,34,+03:40.52
Ben Hamilton,SWIM,00:50:43.99,35,+03:42.10
Leonard Arnold,SWIM,00:50:44.962,,
Jackson Laundry,SWIM,00:50:47.169,36,+03:45.28
Pieter Heemeryck,SWIM,00:50:48.467,,
Tristan Olij,SWIM,00:52:14.266,37,+05:12.38
Chris Leiferman,SWIM,00:52:16.524,,
Lionel Sanders,SWIM,00:52:20.009,38,+05:18.12
Jason Pohl,SWIM,00:52:22.727,39,+05:20.84
Cameron Wurf,SWIM,00:52:24.561,40,+05:22.67
Rasmus Svenningsson,SWIM,00:52:28.601,41,+05:26.71
Michael Weiss,SWIM,00:55:07.135,42,+08:05.25
Trevor Foley,SWIM,00:55:13.809,,
Matt Burton,SWIM,00:55:15.056,,
Arthur Horseau,SWIM,00:56:29.508,,
Kieran Lindars,T1,00:49:14.761,1,
Antonio Benito López,T1,00:49:20.214,2,+00:05.45
Sam Laidlow,T1,00:49:22.292,3,+00:07.53
Finn Große-Freese,T1,00:49:24.177,4,+00:09.42
Ben Kanute,T1,00:49:25.804,5,+00:11.04
Patrick Lange,T1,00:49:28.624,6,+00:13.86
Paul Schuster,T1,00:49:29.547,7,+00:14.79
Sam Appleton,T1,00:49:32.555,8,+00:17.79
Gregory Barnaby,T1,00:49:33.734,9,+00:18.97
Matthew Marquardt,T1,00:49:36.28,10,+00:21.52
Steven McKenna,T1,00:49:40.975,11,+00:26.21
Kacper Stepniak,T1,00:49:43.519,12,+00:28.76
Menno Koolhaas,T1,00:49:50.512,13,+00:35.75
Kristian Blummenfelt,T1,00:49:53.161,14,+00:38.40
Denis Chevrot,T1,00:49:55.635,,
Daniel Bækkegård,T1,00:49:56.918,15,+00:42.16
David McNamee,T1,00:49:57.94,16,+00:43.18
Rudy Von Berg,T1,00:49:58.673,17,+00:43.91
Clément Mignon,T1,00:50:00.519,,
Braden Currie,T1,00:50:02.363,18,+00:47.60
Nick Thompson,T1,00:50:06.683,19,+00:51.92
Robert Wilkowiecki,T1,00:50:11.063,,
Kristian Høgenhaug,T1,00:50:34.614,20,+01:19.85
Dylan Magnien,T1,00:50:47.356,21,+01:32.60
Magnus Ditlev,T1,00:50:49.733,22,+01:34.97
Robert Kallin,T1,00:50:53.834,23,+01:39.07
Bradley Weiss,T1,00:51:00.533,24,+01:45.77
Igor Amorelli,T1,00:51:06.20,25,+01:51.44
Mathias Petersen,T1,00:51:15.487,26,+02:00.73
Jonas Hoffmann,T1,00:52:57.367,27,+03:42.61
Matt Hanson,T1,00:53:00.913,28,+03:46.15
Andre Lopes,T1,00:53:01.834,29,+03:47.07
Leon Chevalier,T1,00:53:04.845,30,+03:50.08
Stenn Goetstouwers,T1,00:53:05.886,31,+03:51.13
Tomasz Szala,T1,00:53:11.508,32,+03:56.75
Reinaldo Colucci,T1,00:53:13.584,,
Leonard Arnold,T1,00:53:14.555,,
Jackson Laundry,T1,00:53:25.363,33,+04:10.60
Mike Phillips,T1,00:53:26.593,34,+04:11.83
Pieter Heemeryck,T1,00:53:31.033,,
Gustav Iden,T1,00:53:37.339,,
Thor Bendix Madsen,T1,00:53:37.83,35,+04:23.07
Arnaud Guilloux,T1,00:53:44.60,,
Ben Hamilton,T1,00:54:05.353,36,+04:50.59
Chris Leiferman,T1,00:54:28.501,,
Lionel Sanders,T1,00:54:54.703,37,+05:39.94
Jason Pohl,T1,00:54:55.174,38,+05:40.41
Cameron Wurf,T1,00:54:58.399,39,+05:43.64
Rasmus Svenningsson,T1,00:55:06.691,40,+05:51.93
Tristan Olij,T1,00:55:16.943,41,+06:02.18
Michael Weiss,T1,00:57:49.872,42,+08:35.11
Matt Burton,T1,00:57:50.358,,
Trevor Foley,T1,00:57:57.184,,
Arthur Horseau,T1,00:59:47.029,,
Sam Laidlow,BIKE1,00:51:47.832,1,
Kieran Lindars,BIKE1,00:51:51.126,2,+00:03.29
Antonio Benito López,BIKE1,00:51:54.736,3,+00:06.90
Finn Große-Freese,BIKE1,00:51:56.451,4,+00:08.62
Matthew Marquardt,BIKE1,00:51:59.334,5,+00:11.50
Ben Kanute,BIKE1,00:51:59.639,6,+00:11.81
Patrick Lange,BIKE1,00:52:01.552,7,+00:13.72
Paul Schuster,BIKE1,00:52:03.102,8,+00:15.27
Sam Appleton,BIKE1,00:52:05.509,9,+00:17.68
