name,split,netTime
Andrea Salvisberg,SWIM,00:45:10.609
Jonas Schomburg,SWIM,00:45:11.977
Jamie Riddle,SWIM,00:45:14.941
Marten Van Riel,SWIM,00:45:16.426
Finn Große-Freese,SWIM,00:45:16.434
Sven Thalmann,SWIM,00:45:16.887
Jan Stratmann,SWIM,00:45:17.215
Antonio Benito,SWIM,00:45:17.938
Wilhelm Hirsch,SWIM,00:45:18.199
Mattia Ceccarelli,SWIM,00:45:18.602
Casper Stornes,SWIM,00:45:20.461
Kieran Lindars,SWIM,00:45:24.52
Kacper Stepniak,SWIM,00:46:01.813
Rudy Von Berg,SWIM,00:46:03.238
Kristian Blummenfelt,SWIM,00:46:07.109
Matthew Marquardt,SWIM,00:46:10.164
Magnus Ditlev,SWIM,00:46:11.039
Federico Scarabino,SWIM,00:46:12.645
Paul Schuster,SWIM,00:46:13.559
Mathias Lyngsø Petersen,SWIM,00:46:14.387
Dylan Magnien,SWIM,00:46:14.891
Nick Thompson,SWIM,00:46:15.441
Andre Lopes,SWIM,00:46:15.883
Daniel Bækkegård,SWIM,00:46:16.617
Jason West,SWIM,00:46:19.688
Filipe Azevedo,SWIM,00:46:20.242
Kristian Høgenhaug,SWIM,00:47:05.441
Harry Palmer,SWIM,00:47:08.016
Sam Laidlow,SWIM,00:47:10.559
Patrick Lange,SWIM,00:47:10.641
Benjamin Zorgnotti,SWIM,00:47:10.863
Jonas Hoffmann,SWIM,00:47:10.906
Gustav Iden,SWIM,00:47:13.422
Henrik Goesch,SWIM,00:47:15.641
Fernando Toldi,SWIM,00:47:15.641
Nathan Guerbeur,SWIM,00:47:17.098
Bradley Weiss,SWIM,00:49:21.809
Chris Leiferman,SWIM,00:51:15.215
Luciano Taccone,SWIM,00:51:18.125
Dominik Sowieja,SWIM,00:51:19.523
Ben Hill,SWIM,00:51:21.027
Kristian Grue,SWIM,00:51:22.488
Cameron Wurf,SWIM,00:51:22.699
Jack Moody,SWIM,00:51:24.586
Leon Chevalier,SWIM,00:51:24.887
Matt Hanson,SWIM,00:51:25.75
Sam Long,SWIM,00:51:25.922
Dario Giovine,SWIM,00:51:26.625
Jordi Montraveta Moya,SWIM,00:51:28.371
Joe Skipper,SWIM,00:51:59.379
Zachary Cooper,SWIM,00:56:21.941
Jon Saeveras Breivold,SWIM,00:56:27.391
Bart Aernouts,SWIM,00:56:30.895
Jonas Schomburg,T1,00:47:14.217
Jamie Riddle,T1,00:47:22.60
Wilhelm Hirsch,T1,00:47:23.478
Finn Große-Freese,T1,00:47:26.517
Jan Stratmann,T1,00:47:27.924
Andrea Salvisberg,T1,00:47:29.404
Marten Van Riel,T1,00:47:30.658
Mattia Ceccarelli,T1,00:47:31.463
Kieran Lindars,T1,00:47:33.353
Antonio Benito,T1,00:47:35.627
Sven Thalmann,T1,00:47:37.498
Rudy Von Berg,T1,00:48:10.869
Casper Stornes,T1,00:48:15.709
Kristian Blummenfelt,T1,00:48:17.822
Kacper Stepniak,T1,00:48:20.416
Paul Schuster,T1,00:48:23.756
Federico Scarabino,T1,00:48:25.90
Matthew Marquardt,T1,00:48:31.877
Dylan Magnien,T1,00:48:33.596
Jason West,T1,00:48:35.631
Magnus Ditlev,T1,00:48:38.482
Andre Lopes,T1,00:48:40.627
Nick Thompson,T1,00:48:45.373
Mathias Lyngsø Petersen,T1,00:48:49.201
Filipe Azevedo,T1,00:49:04.029
Daniel Bækkegård,T1,00:49:07.064
Benjamin Zorgnotti,T1,00:49:16.189
Gustav Iden,T1,00:49:22.631
Patrick Lange,T1,00:49:24.959
Harry Palmer,T1,00:49:25.74
Nathan Guerbeur,T1,00:49:26.752
Fernando Toldi,T1,00:49:30.451
Kristian Høgenhaug,T1,00:49:33.486
Jonas Hoffmann,T1,00:49:46.006
Henrik Goesch,T1,00:49:47.432
Sam Laidlow,T1,00:49:56.045
Bradley Weiss,T1,00:52:19.15
Sam Long,T1,00:53:36.924
Cameron Wurf,T1,00:53:40.799
Leon Chevalier,T1,00:53:44.295
Dominik Sowieja,T1,00:53:45.728
Matt Hanson,T1,00:53:47.701
Luciano Taccone,T1,00:53:49.17
Jack Moody,T1,00:53:51.154
Jordi Montraveta Moya,T1,00:53:52.877
Kristian Grue,T1,00:54:00.037
Chris Leiferman,T1,00:54:03.139
Dario Giovine,T1,00:54:07.615
Ben Hill,T1,00:54:08.377
Joe Skipper,T1,00:54:20.033
Bart Aernouts,T1,00:58:51.424
Jon Saeveras Breivold,T1,00:59:07.396
Zachary Cooper,T1,00:59:28.17
Jonas Schomburg,BIKE1,01:00:21.379
Marten Van Riel,BIKE1,01:00:25.379
Jamie Riddle,BIKE1,01:00:27.379
Andrea Salvisberg,BIKE1,01:00:29.379
Jan Stratmann,BIKE1,01:00:30.379
Wilhelm Hirsch,BIKE1,01:00:57.379
Antonio Benito,BIKE1,01:01:01.379
Finn Große-Freese,BIKE1,01:01:02.379
Kieran Lindars,BIKE1,01:01:02.379
Sven Thalmann,BIKE1,01:01:04.379
Mattia Ceccarelli,BIKE1,01:01:06.379
Rudy Von Berg,BIKE1,01:01:55.379
Federico Scarabino,BIKE1,01:01:56.379
Kristian Blummenfelt,BIKE1,01:01:58.379
Kacper Stepniak,BIKE1,01:02:00.379
Casper Stornes,BIKE1,01:02:01.379
Magnus Ditlev,BIKE1,01:02:03.379
Paul Schuster,BIKE1,01:02:05.379
Nick Thompson,BIKE1,01:02:07.379
Jason West,BIKE1,01:02:08.379
Mathias Lyngsø Petersen,BIKE1,01:02:09.379
Dylan Magnien,BIKE1,01:02:12.379
Andre Lopes,BIKE1,01:02:16.379
Gustav Iden,BIKE1,01:02:32.379
Nathan Guerbeur,BIKE1,01:02:36.379
Benjamin Zorgnotti,BIKE1,01:02:37.379
Jonas Hoffmann,BIKE1,01:02:47.379
Filipe Azevedo,BIKE1,01:02:49.379
Patrick Lange,BIKE1,01:02:54.379
Harry Palmer,BIKE1,01:02:55.379
Fernando Toldi,BIKE1,01:02:57.379
Kristian Høgenhaug,BIKE1,01:03:00.379
Sam Laidlow,BIKE1,01:03:39.379
Henrik Goesch,BIKE1,01:03:40.379
Daniel Bækkegård,BIKE1,01:03:48.379
Matthew Marquardt,BIKE1,01:06:47.379
Bradley Weiss,BIKE1,01:06:52.379
Cameron Wurf,BIKE1,01:07:43.379
Leon Chevalier,BIKE1,01:07:43.379
Joe Skipper,BIKE1,01:07:45.379
Ben Hill,BIKE1,01:07:46.379
Dominik Sowieja,BIKE1,01:07:48.379
Kristian Grue,BIKE1,01:07:49.379
Luciano Taccone,BIKE1,01:07:50.379
Jordi Montraveta Moya,BIKE1,01:07:50.379
Sam Long,BIKE1,01:07:51.379
Chris Leiferman,BIKE1,01:07:53.379
Dario Giovine,BIKE1,01:07:58.379
Jack Moody,BIKE1,01:08:00.379
Matt Hanson,BIKE1,01:08:07.379
Bart Aernouts,BIKE1,01:13:02.379
Jon Saeveras Breivold,BIKE1,01:13:03.379
Zachary Cooper,BIKE1,01:14:48.379
Marten Van Riel,BIKE2,01:29:21.379
Jamie Riddle,BIKE2,01:29:25.379
Jonas Schomburg,BIKE2,01:29:26.379
Andrea Salvisberg,BIKE2,01:30:52.379
Jan Stratmann,BIKE2,01:31:09.379
Sven Thalmann,BIKE2,01:31:10.379
Kristian Blummenfelt,BIKE2,01:31:22.379
Nick Thompson,BIKE2,01:31:24.379
Kieran Lindars,BIKE2,01:31:30.379
Antonio Benito,BIKE2,01:31:31.379
Mattia Ceccarelli,BIKE2,01:31:36.379
Rudy Von Berg,BIKE2,01:31:37.379
Wilhelm Hirsch,BIKE2,01:31:37.379
Gustav Iden,BIKE2,01:31:38.379
Magnus Ditlev,BIKE2,01:31:39.379
Casper Stornes,BIKE2,01:31:43.379
Federico Scarabino,BIKE2,01:31:44.379
Finn Große-Freese,BIKE2,01:31:46.379
Nathan Guerbeur,BIKE2,01:31:49.379
Sam Laidlow,BIKE2,01:32:16.379
Paul Schuster,BIKE2,01:32:18.379
Jason West,BIKE2,01:32:21.379
Kacper Stepniak,BIKE2,01:32:27.379
Mathias Lyngsø Petersen,BIKE2,01:32:29.379
Kristian Høgenhaug,BIKE2,01:32:29.379
Jonas Hoffmann,BIKE2,01:32:33.379
Dylan Magnien,BIKE2,01:32:34.379
Benjamin Zorgnotti,BIKE2,01:33:28.379
Daniel Bækkegård,BIKE2,01:34:05.379
Andre Lopes,BIKE2,01:34:07.379
Fernando Toldi,BIKE2,01:34:09.379
Harry Palmer,BIKE2,01:34:25.379
Patrick Lange,BIKE2,01:34:31.379
Filipe Azevedo,BIKE2,01:34:34.379
Henrik Goesch,BIKE2,01:35:27.379
Matthew Marquardt,BIKE2,01:37:12.379
Cameron Wurf,BIKE2,01:37:14.379
Leon Chevalier,BIKE2,01:37:18.379
Bradley Weiss,BIKE2,01:37:19.379
Luciano Taccone,BIKE2,01:37:21.379
Joe Skipper,BIKE2,01:37:22.379
Sam Long,BIKE2,01:37:24.379
Ben Hill,BIKE2,01:37:25.379
Jordi Montraveta Moya,BIKE2,01:37:26.379
Dominik Sowieja,BIKE2,01:38:00.379
Kristian Grue,BIKE2,01:38:06.379
Chris Leiferman,BIKE2,01:39:24.379
Dario Giovine,BIKE2,01:39:26.379
Jack Moody,BIKE2,01:40:44.379
Matt Hanson,BIKE2,01:40:46.379
Jon Saeveras Breivold,BIKE2,01:43:29.379
Bart Aernouts,BIKE2,01:43:42.379
Zachary Cooper,BIKE2,01:46:07.379
Marten Van Riel,BIKE3,01:46:56.379
Jamie Riddle,BIKE3,01:47:06.379
Jonas Schomburg,BIKE3,01:47:08.379
Nick Thompson,BIKE3,01:48:43.379
Kristian Blummenfelt,BIKE3,01:48:44.379
Andrea Salvisberg,BIKE3,01:48:46.379
Jan Stratmann,BIKE3,01:48:48.379
Sven Thalmann,BIKE3,01:48:51.379
Rudy Von Berg,BIKE3,01:48:52.379
Gustav Iden,BIKE3,01:48:53.379
Antonio Benito,BIKE3,01:48:55.379
Magnus Ditlev,BIKE3,01:48:56.379
Federico Scarabino,BIKE3,01:48:56.379
Nathan Guerbeur,BIKE3,01:48:58.379
Casper Stornes,BIKE3,01:48:59.379
Wilhelm Hirsch,BIKE3,01:49:02.379
Sam Laidlow,BIKE3,01:49:13.379
Finn Große-Freese,BIKE3,01:49:26.379
Paul Schuster,BIKE3,01:49:28.379
Kieran Lindars,BIKE3,01:49:30.379
Mattia Ceccarelli,BIKE3,01:49:46.379
Kristian Høgenhaug,BIKE3,01:49:54.379
Mathias Lyngsø Petersen,BIKE3,01:50:49.379
Jason West,BIKE3,01:50:52.379
Jonas Hoffmann,BIKE3,01:50:52.379
Kacper Stepniak,BIKE3,01:50:54.379
Dylan Magnien,BIKE3,01:50:56.379
Harry Palmer,BIKE3,01:52:34.379
Benjamin Zorgnotti,BIKE3,01:52:39.379
Fernando Toldi,BIKE3,01:52:39.379
Daniel Bækkegård,BIKE3,01:52:39.379
Andre Lopes,BIKE3,01:52:42.379
Patrick Lange,BIKE3,01:53:12.379
Filipe Azevedo,BIKE3,01:53:14.379
Henrik Goesch,BIKE3,01:54:37.379
Matthew Marquardt,BIKE3,01:54:43.379
Cameron Wurf,BIKE3,01:54:43.379
Ben Hill,BIKE3,01:54:45.379
Joe Skipper,BIKE3,01:54:46.379
Jordi Montraveta Moya,BIKE3,01:54:55.379
Leon Chevalier,BIKE3,01:54:57.379
Sam Long,BIKE3,01:54:58.379
Bradley Weiss,BIKE3,01:54:59.379
Luciano Taccone,BIKE3,01:55:00.379
Dominik Sowieja,BIKE3,01:56:19.379
Kristian Grue,BIKE3,01:56:30.379
Chris Leiferman,BIKE3,01:57:50.379
Dario Giovine,BIKE3,01:58:03.379
Jack Moody,BIKE3,01:59:57.379
Matt Hanson,BIKE3,02:00:23.379
Jon Saeveras Breivold,BIKE3,02:01:19.379
Bart Aernouts,BIKE3,02:01:44.379
Zachary Cooper,BIKE3,02:04:29.379
Jonas Schomburg,BIKE4,02:00:33.379
Marten Van Riel,BIKE4,02:00:34.379
Jamie Riddle,BIKE4,02:00:35.379
Sam Laidlow,BIKE4,02:02:17.379
Casper Stornes,BIKE4,02:02:21.379
Kristian Blummenfelt,BIKE4,02:02:23.379
Sven Thalmann,BIKE4,02:02:28.379
